sim|population|distance|rating|states|counties|wfos|hospitals|hospitalbeds|mobileparks|mobilehomes|psubstations|plines|slon|slat|elon|elat
78|60816|11.6406|1|MN|27037,27163|MPX|0|0|5|175|5|10|-93.147|44.7977|-92.9129|44.8259
78|304|0.0968|0|MN|27131|MPX|0|0|0|0|0|0|-93.1191|44.3903|-93.1174|44.391
80|3568|0.0639|0|MN|27079|MPX|0|0|0|0|0|0|-94.3166|44.8009|-94.316|44.8017
80|80|0.4971|2|IA|19063|DMX|0|0|0|0|1|0|-94.7868|43.3462|-94.7808|43.3519
80|48|0.4891|0|MN|27083|FSD|0|0|0|0|0|0|-95.7611|44.2802|-95.7532|44.2845
85|48|1.512|0|MN|27015|MPX|0|0|0|0|0|0|-94.7849|44.45|-94.7701|44.4691
88|512|0.3658|1|MN|27039|ARX|0|0|0|0|0|0|-92.6119|44.0719|-92.6067|44.0757
88|304|0.062|1|MN|27161|MPX|0|0|0|0|0|0|-93.6328|43.9539|-93.6315|43.9539
88|224|1.7077|0|MN|27049|MPX|0|0|1|25|0|0|-92.7303|44.2654|-92.6995|44.2765
88|96|1.7958|0|MN|27099|ARX|0|0|0|0|0|0|-92.7703|43.691|-92.751|43.7129
88|96|0.706|1|MN|27015,27165|MPX|0|0|0|0|0|0|-94.7335|44.166|-94.7233|44.1732
88|2368|5.8379|0|MN|27161|MPX|0|0|0|0|2|4|-95.7545|44.6674|-95.656|44.7147
102|112|1.1954|2|MN|27091|MPX|0|0|0|0|0|0|-94.5937|43.6077|-94.5748|43.6183
102|208|1.6245|0|MN|27151|MPX|0|0|0|0|0|0|-95.6862|45.4131|-95.6639|45.4306
102|80|0.6063|0|MN|27047|MPX|0|0|0|0|0|0|-93.5397|43.7593|-93.5307|43.7652
107|112|0.231|0|MN|27129|MPX|2|149|1|125|2|0|-94.963|44.7843|-94.9592|44.7862
107|176|1.0615|1|MN|27101|FSD|0|0|0|0|0|0|-95.707|44.1158|-95.7021|44.1307
108|320|0.7452|0|MN|27095|MPX|0|0|0|0|0|0|-93.692|45.6948|-93.6814|45.7026
113|320|1.831|1|MN|27101,27117|FSD|0|0|0|0|0|0|-96.0422|44.2126|-96.0143|44.23
113|64|0.0115|0|MN|27023|MPX|0|0|0|0|0|0|-95.3515|44.9728|-95.3513|44.9728
122|896|0.9178|2|MN|27171|MPX|0|0|1|25|0|0|-94.1604|45.3059|-94.1491|45.3166
122|48|0.8368|1|MN|27151|MPX|0|0|0|0|0|0|-95.8758|45.3172|-95.8614|45.3238
126|128|3.7741|2|IA|19063|DMX|0|0|0|0|0|0|-94.7274|43.4216|-94.6655|43.4526
126|32|0.368|0|MN|27121|MPX|0|0|0|0|0|0|-95.6337|45.4929|-95.6271|45.4955
126|1248|1.0234|0|MN|27053|MPX|0|0|0|0|0|0|-93.6609|45.1531|-93.6412|45.1583
128|480|2.4579|0|MN|27079|MPX|0|0|0|0|0|0|-93.7037|44.4599|-93.6656|44.4828
131|48|1.1132|1|MN|27015|MPX|0|0|0|0|0|0|-94.801|44.349|-94.7854|44.3606
131|112|1.6017|0|MN|27091|MPX|0|0|0|0|3|8|-94.7372|43.6393|-94.7154|43.6563
131|5024|9.4228|1|MN|27171|MPX|0|0|1|25|0|0|-94.1618|45.2671|-93.9881|45.3277
132|2256|1.7125|0|MN|27101|FSD|0|0|0|0|0|0|-95.7291|44.0208|-95.7069|44.0398
132|48|0.4097|0|MN|27099|ARX|0|0|0|0|0|0|-92.7143|43.8165|-92.7077|43.82
132|1888|1.1626|1|MN,WI|27037,55093|MPX|0|0|0|0|0|0|-95.0822|45.3319|-95.0618|45.3407
132|112|3.0828|3|MN|27091|MPX|0|0|0|0|0|0|-94.7426|43.8283|-94.7007|43.8612
135|240|3.1944|1|MN|27097|MPX|0|0|0|0|0|0|-94.4964|46.0388|-94.4493|46.0715
138|1552|1.3854|1|MN|27145|MPX|0|0|0|0|0|0|-94.7727|45.7471|-94.7507|45.76
139|96|0.9077|1|MN|27127|MPX|0|0|0|0|1|1|-95.527|44.2927|-95.5128|44.301
142|80|2.0064|1|MN|27083|FSD|0|0|0|0|0|0|-95.644|44.4926|-95.6094|44.5079
143|112|0.3663|0|MN|27101|FSD|0|0|0|0|0|0|-95.8341|44.0438|-95.8302|44.0483
144|96|0.484|1|MN|27099|ARX|0|0|0|0|0|0|-92.6946|43.7343|-92.6898|43.7404
146|32|0.068|0|MN|27033|MPX|0|0|0|0|0|0|-92.5319|44.2462|-92.5308|44.2469
146|16|0.8243|0|MN|27095|MPX|0|0|0|0|0|0|-93.4961|46.0559|-93.4883|46.0666
146|240|5.1902|1|MN|27141|MPX|0|0|0|0|0|0|-93.6543|45.1055|-93.5721|45.1532
146|160|1.3253|2|MN|27095|MPX|0|0|0|0|0|0|-93.5601|45.959|-93.5453|45.9751
147|64|0.6147|1|MN|27127|MPX|0|0|0|0|0|0|-95.1038|44.4814|-95.0924|44.4851
149|480|0.351|1|MN|27171|MPX|0|0|0|0|0|0|-93.701|45.2127|-93.6952|45.2158
150|1360|1.6851|1|MN|27053|MPX|0|0|0|0|0|0|-93.5235|45.1729|-93.4919|45.1828
150|10272|1.9343|0|MN|27131|MPX|0|0|4|250|3|11|-94.7489|44.5969|-94.7126|44.6075
150|80|0.0089|2|MN|27165|MPX|0|0|0|0|0|0|-94.6522|43.9401|-94.6521|43.9402
150|1312|0.1191|0|WI|55109|MPX|1|124|2|50|0|0|-92.5483|45.0978|-92.5461|45.0985
150|432|2.6432|1|MN|27121,27145|MPX|1|1000|1|125|0|0|-94.676|45.6357|-94.6384|45.6635
150|272|3.2361|1|MN|27067|MPX|0|0|0|0|0|0|-95.0495|45.2698|-95.0092|45.3071
151|9696|0.1499|0|MN|27085|MPX|0|0|0|0|1|3|-94.2575|44.3205|-94.2552|44.322
154|944|0.6251|0|MN|27171|MPX|0|0|1|25|6|25|-93.8994|45.366|-93.8891|45.3715
158|192|5.8442|1|MN|27121|MPX|0|0|0|0|0|0|-95.6207|45.7153|-95.5128|45.7537
159|8848|0.0765|0|MN|27019,27053|MPX|0|0|0|0|0|0|-94.7512|44.806|-94.7501|44.8068
159|27008|0.3581|0|MN|27003|MPX|0|0|0|0|0|0|-95.0515|45.1499|-95.0464|45.1537
159|64|0.3689|0|MN|27097|MPX|0|0|0|0|0|0|-94.186|45.9693|-94.1803|45.9729
159|64|0.0458|0|MN|27173|MPX|0|0|0|0|0|0|-95.7723|44.696|-95.7714|44.6961
159|528|8.1495|1|MN|27049,27157|ARX,MPX|0|0|0|0|0|0|-92.5796|44.3256|-92.4316|44.3777
159|7936|0.517|0|MN|27053|MPX|0|0|0|0|0|0|-93.4537|45.0718|-93.4444|45.0754
159|160|0.2147|0|MN|27015,27165|MPX|0|0|0|0|0|0|-94.2645|43.951|-94.2608|43.9526
159|240|0.5114|0|MN|27063,27091|MPX|0|0|0|0|0|0|-96.103|44.2248|-96.0933|44.2272
163|80|0.4641|0|MN|27043|MPX|0|0|0|0|0|0|-93.6157|43.7639|-93.6104|43.7694
168|304|2.5994|0|MN|27153|MPX|0|0|1|25|0|0|-95.0183|45.9355|-94.9749|45.958
170|224|0.2721|0|MN|27067|MPX|0|0|0|0|0|0|-94.9523|45.3976|-94.9475|45.3996
170|448|8.4553|1|MN|27047|ARX,MPX|0|0|0|0|0|0|-93.1095|43.6297|-93.0467|43.7433
171|64|1.8838|0|MN|27067|MPX|0|0|0|0|0|0|-94.7576|45.2618|-94.7282|45.2796
171|656|2.428|2|MN|27025|MPX|0|0|0|0|0|0|-92.7012|45.4439|-92.657|45.4604
