sim,population,hospitals,mobilehomes,psubstations
312,0,0,0,0
313,192,0,0,1
314,80,0,0,0
315,48,0,0,0
316,160,0,0,0
317,0,0,0,0
318,192,0,0,0
319,3728,2,25,6
320,0,0,0,0
321,0,0,0,0
322,0,0,0,0
323,544,0,0,1
324,880,0,0,0
325,0,0,0,0
326,208,0,0,0
327,144,0,0,0
328,3312,0,25,1
329,208,0,0,0
330,576,0,0,0
331,400,0,125,1
332,0,0,0,0
333,16,0,0,0
334,768,1,0,2
335,2048,0,0,0
336,0,0,0,0
337,592,0,0,0
338,0,0,0,0
339,32,0,0,0
340,0,0,0,0
341,336,0,0,0
342,384,0,0,0
343,32,0,0,0
344,0,0,0,0
345,368,0,0,0
346,0,0,0,0
347,80,0,0,0
348,1440,0,0,0
349,0,0,0,0
350,64,0,0,0
351,32,0,0,0
352,1152,0,175,0
353,0,0,0,0
354,80,0,0,0
355,48,0,0,0
356,1648,0,125,5
357,0,0,0,0
358,176,0,0,0
359,0,0,0,0
360,256,0,0,0
361,1072,0,225,1
362,96,0,0,0
363,32,0,0,0
364,16,0,0,0
365,160,0,0,0
366,112,0,0,0
367,1040,0,0,0
368,0,0,0,0
369,16,0,0,0
370,1888,0,0,2
371,0,0,0,0
372,0,0,0,0
373,0,0,0,0
374,48,0,0,0
375,0,0,0,0
376,48,0,0,0
377,240,0,0,1
378,1072,0,0,1
379,672,1,0,0
380,112,0,0,1
381,144,0,0,0
382,304,0,0,1
383,0,0,0,0
384,16,0,0,0
385,0,0,0,0
386,768,0,0,0
387,576,0,25,0
388,240,0,25,1
389,496,0,0,0
390,528,1,0,0
391,1712,0,0,0
392,560,0,0,0
393,16,0,0,0
394,0,0,0,0
395,0,0,0,0
396,18208,0,425,3
397,0,0,0,0
398,576,0,0,0
399,2656,0,0,1
400,1472,0,0,0
401,432,0,0,0
402,16,0,0,0
403,256,0,0,2
404,352,0,0,0
405,0,0,0,0
406,64,0,0,0
407,0,0,0,0
408,112,0,0,0
409,80,0,0,0
410,144,0,0,0
411,48,0,0,0
412,1168,0,50,1
413,0,0,0,0
414,2608,0,0,1
415,128,0,0,0
416,352,0,0,0
417,1472,0,0,1
418,80,0,0,0
419,0,0,0,0
420,0,0,0,0
421,64,0,0,0
422,96,0,0,1
423,12912,1,25,7
424,0,0,0,0
425,0,0,0,0
426,672,0,0,0
427,0,0,0,0
428,0,0,0,0
429,608,0,0,0
430,256,0,0,0
431,64,0,0,0
432,160,0,0,0
433,304,0,0,1
434,304,0,125,5
435,2304,0,0,0
436,0,0,0,0
437,3760,1,75,2
438,1392,0,0,0
439,128,0,0,0
440,112,0,0,1
441,1040,0,0,0
442,64,0,0,0
443,832,1,200,9
444,304,0,0,0
445,0,0,0,0
446,16,0,0,0
447,64,0,0,0
448,16,0,0,0
449,144,0,0,0
450,0,0,0,0
451,0,0,0,0
452,176,0,0,0
453,0,0,0,0
454,144,0,0,0
455,192,0,0,0
456,3872,0,0,0
457,128,0,0,0
458,512,0,0,0
459,896,0,0,0
460,112,0,0,0
461,32,0,0,1
462,0,0,0,0
463,0,0,0,0
464,48,1,25,0
465,0,0,0,0
466,224,0,0,0
467,1440,0,25,0
468,9440,0,0,0
469,1488,0,0,0
