population,hospitals,mobilehomes,psubstations
14048,2,75,12
9536,1,100,12
6720,2,50,8
3024,0,0,1
13584,0,0,3
8096,1,0,8
23024,1,25,13
1040,0,0,3
4000,0,0,0
68800,0,500,15
23760,0,0,5
512,0,0,1
6560,0,25,2
62768,8,125,17
46832,3,325,18
6256,1,150,9
151552,4,200,13
3232,1,0,3
4144,0,75,4
4192,0,150,9
10336,1,0,4
15696,0,0,6
15520,1,25,24
9392,2,50,20
12240,1,75,23
41488,1,50,13
104096,1,250,16
12688,1,250,6
18672,1,150,3
4960,0,25,3
33984,0,0,5
125552,4,325,23
8688,0,100,10
13984,2,150,11
7424,1,300,9
4752,0,0,6
5920,0,0,4
22672,6,200,25
656,0,0,1
4080,2,75,5
7648,0,100,11
2800,0,0,3
17600,0,25,8
45984,2,25,15
23552,0,0,5
84528,4,100,13
23152,0,0,11
10608,0,25,5
384,0,0,5
6672,1,225,11
83104,1,25,11
672,0,0,1
1728,0,0,1
9328,2,375,12
84800,5,800,9
3648,0,0,4
7088,1,25,4
40960,4,475,14
11264,0,150,4
30336,2,375,10
3776,0,0,2
9552,0,150,8
6400,0,0,9
1744,0,0,0
8752,0,125,7
83024,1,225,17
52944,1,0,9
23296,2,100,11
19536,1,350,11
10048,1,0,4
14848,0,0,3
15824,3,0,7
9856,0,0,0
27840,0,175,5
84064,1,225,7
27328,3,125,8
8048,0,75,2
8320,0,100,5
40160,2,1250,15
8288,0,0,3
256,0,0,0
3952,1,0,5
2240,0,50,6
3792,2,0,3
38240,0,125,5
7392,0,0,8
992,0,0,2
79360,1,325,23
22592,1,75,20
3232,0,25,4
4832,0,0,0
76768,2,100,16
122032,1,175,27
48800,2,275,13
192,0,0,1
8896,0,0,13
102288,2,200,15
1408,0,0,2
13184,1,25,7
7664,0,0,4
10864,0,0,1
8064,1,25,9
77120,5,400,11
4512,0,0,10
12336,0,125,11
87936,0,175,14
38144,2,325,15
1856,0,25,4
18816,0,25,12
28656,0,25,3
8016,0,0,2
35392,1,50,9
29680,2,350,19
1824,0,0,1
4096,1,0,3
8112,0,0,3
24640,3,25,12
9168,0,150,0
13312,0,175,5
14576,0,0,9
8368,1,25,11
8208,1,200,3
7600,2,25,6
10464,0,125,10
7280,0,0,6
3168,0,25,4
4192,0,25,2
3536,0,0,4
54128,2,225,21
128480,3,375,27
20192,2,0,10
9536,0,0,2
33504,0,25,7
10432,1,25,9
15520,0,50,11
10480,1,75,9
5104,0,25,5
2848,1,0,3
14992,1,150,13
6096,3,150,15
6624,1,75,8
18704,1,150,6
3568,0,0,2
9360,2,300,5
27872,0,425,6
13104,1,75,2
16064,0,0,2
3104,0,0,1
29344,0,275,7
10128,0,0,10
35152,0,0,13
16784,0,100,9
42432,2,25,13
20096,1,25,16
76496,1,250,10
18688,3,25,10
1712,0,0,0
10848,0,75,12
22336,1,25,17
29312,2,175,8
1760,1,0,6
29616,2,125,15
6656,0,0,1
6144,0,25,6
6288,0,0,2
6032,0,0,1
6336,1,50,9
87088,7,550,16
22592,1,200,15
6688,1,25,8
6464,1,0,8
17232,1,0,1
17312,1,125,18
10544,1,50,6
1888,0,0,1
352,0,0,2
1776,1,0,2
5600,1,25,4
3136,1,125,2
43104,1,200,14
18832,1,50,4
5472,0,0,8
4848,0,0,0
11376,0,25,8
15728,1,0,9
45296,0,50,15
7360,3,450,10
11680,2,50,4
20928,0,0,15
2480,0,0,3
23584,0,225,11
6512,0,0,1
3024,0,0,5
8960,0,25,5
36768,2,125,9
2800,0,0,1
9664,2,0,6
3872,0,0,7
28384,1,25,3
1360,0,0,0
57520,0,0,7
1696,0,75,8
2800,0,0,1
4800,1,0,3
