population,hospitals,mobilehomes,psubstations
4832,0,0,2
1296,0,0,0
1776,1,25,1
48,0,0,0
1568,0,25,1
10496,1,25,2
5984,2,25,1
3632,0,0,3
17456,1,125,8
2720,0,0,1
2688,0,0,3
98368,1,775,12
560,0,0,0
23632,1,100,6
35056,0,25,0
4464,1,125,8
4176,0,0,1
26448,1,350,10
12864,0,0,1
6544,0,0,1
5872,1,75,7
8832,0,25,2
4480,0,0,0
800,0,0,0
4128,0,0,4
16512,1,225,22
97568,1,425,16
176,0,0,0
6464,0,125,4
1568,0,0,3
656,0,75,0
0,0,0,0
7376,0,0,1
3312,0,25,2
6560,0,25,2
1936,1,50,2
768,0,0,0
4976,0,25,2
3232,0,0,0
1712,0,75,0
976,0,0,0
3072,0,25,1
16,0,0,0
22640,0,0,8
1456,0,25,0
64,0,0,1
432,0,0,1
1568,0,0,2
9216,2,75,2
592,0,0,2
800,0,0,2
21456,2,75,7
17088,0,0,8
7392,1,125,4
4416,0,0,2
816,0,0,2
1248,0,0,2
752,0,0,0
8592,0,0,4
2848,0,25,0
7328,0,0,1
7360,0,0,7
992,0,0,0
13904,0,0,4
6736,1,25,3
14384,0,250,14
128,0,0,0
1552,0,0,3
9072,0,250,2
2160,1,125,2
37232,0,100,0
7472,0,0,6
17296,0,400,8
3856,1,0,2
19248,0,225,3
41680,0,0,7
6656,0,0,3
1568,1,0,1
17024,2,100,4
1584,0,0,1
400,0,0,0
17072,1,300,7
11472,0,200,8
1856,0,0,0
1424,0,0,0
9392,0,25,3
2576,0,0,3
3424,0,50,4
336,0,0,0
4528,0,0,1
13888,0,0,7
1152,0,0,0
432,0,0,1
192,0,0,0
9392,0,0,5
7360,0,0,3
2240,0,50,2
1040,0,0,3
2288,0,150,3
59968,4,175,17
4928,0,0,1
1536,0,0,0
1456,1,0,0
0,0,0,0
1648,0,0,0
2608,0,0,1
3056,0,0,1
2896,0,25,1
784,0,0,0
640,0,0,0
43296,3,100,11
0,0,0,0
16,0,0,0
12976,0,175,6
17568,0,275,4
2432,0,75,2
52640,2,225,12
67488,5,600,9
304,0,0,0
5424,2,25,1
6352,1,25,5
3008,0,0,1
24656,0,0,5
1872,0,0,0
4176,0,100,5
5984,0,0,0
11456,0,25,1
23312,1,275,10
8848,0,0,2
19424,6,125,16
720,0,0,3
58736,1,150,11
816,0,0,0
1600,0,25,1
5472,0,0,4
1312,0,0,2
1008,0,0,1
592,0,0,0
2064,0,25,0
8272,0,0,2
3904,0,25,4
880,0,0,1
2464,0,0,3
2480,0,0,0
3184,0,75,0
3632,0,0,0
1728,0,0,1
9344,0,50,10
5408,0,0,1
19952,0,0,6
2688,0,0,0
2672,0,0,0
17760,0,0,9
15424,2,250,5
