population,hospitals,mobilehomes,psubstations
1904,0,0,1
64,0,0,0
992,0,0,0
464,0,0,0
96176,8,0,5
6448,0,100,0
192,0,0,0
5712,0,25,2
76976,3,925,3
0,0,0,0
32,0,0,0
432,0,0,0
3920,0,0,1
0,0,0,0
0,0,0,0
432,0,0,0
1440,0,0,0
0,0,0,0
240,0,0,0
64,0,0,0
1648,0,0,0
288,0,0,1
14832,0,0,3
3248,0,0,2
6960,0,0,0
0,0,0,0
416,0,0,0
0,0,0,0
144,0,0,0
800,0,0,1
432,0,0,0
832,0,0,0
144,0,0,0
64,0,0,0
336,0,0,0
32,0,0,1
1472,0,25,0
4272,0,100,1
7744,0,125,0
1120,0,0,0
16,0,0,0
0,0,0,0
1920,0,0,0
448,0,0,0
12064,0,350,6
3792,0,100,1
0,0,0,0
480,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
6160,1,200,0
592,0,0,0
1168,1,200,0
512,0,0,0
1632,0,0,0
0,0,0,0
0,0,0,0
24112,1,0,6
16,0,0,0
35472,2,0,2
1920,0,0,0
10720,0,700,4
63488,4,0,7
16,0,0,0
592,0,0,1
3088,0,0,0
1456,0,0,0
35840,1,0,0
848,0,0,0
0,0,0,0
0,0,0,0
2992,0,25,0
32,0,0,0
1312,0,0,0
1536,0,1250,1
0,0,0,0
12096,2,275,1
42784,1,150,0
112,0,0,2
0,0,0,0
32,0,0,0
3664,0,0,0
64,0,0,0
1744,0,75,0
0,0,0,0
288,0,0,0
45424,2,75,2
1904,0,0,0
1312,0,0,2
0,0,0,0
1824,0,100,0
3728,0,200,1
0,0,0,0
128,0,0,0
0,0,0,0
32,0,0,0
128,1,0,0
176,0,0,0
0,0,0,0
0,0,0,0
96,1,0,0
32,0,0,0
112,0,25,0
128,0,0,0
1616,0,50,0
864,0,0,1
0,0,0,0
3408,0,175,2
624,0,0,2
752,0,0,0
400,0,0,0
5040,0,125,1
0,0,0,0
26400,0,200,5
0,0,0,0
800,0,0,1
336,0,0,0
960,0,0,0
4592,0,0,1
0,0,0,0
144,0,0,0
0,0,0,0
1008,0,50,0
4080,0,25,0
0,0,0,0
528,0,0,0
16,0,0,0
6672,1,0,0
976,0,0,0
688,0,0,0
0,0,0,0
4320,0,50,0
106128,2,50,7
32896,1,200,1
240,0,0,0
320,0,75,0
1120,1,0,0
224,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
80,0,0,0
5408,0,0,0
5056,0,25,2
512,0,0,1
528,0,25,0
0,0,0,0
7040,0,25,0
336,1,0,0
416,0,0,0
1584,0,0,0
0,0,0,0
2432,0,0,0
400,0,0,1
624,0,0,0
0,0,0,0
0,0,0,0
624,0,0,1
24400,0,0,0
976,0,0,0
96,0,0,1
0,0,0,0
1840,0,0,0
3808,0,75,1
16,0,0,0
112,0,0,3
288,0,0,0
496,0,0,0
0,0,0,0
132304,0,475,11
1728,0,0,0
1120,0,0,0
896,0,0,0
80,0,0,0
976,0,0,0
0,0,0,0
0,0,0,0
29152,0,25,0
0,0,0,0
2816,1,0,0
13024,0,0,1
4096,0,175,0
2208,0,0,0
96,0,0,0
6272,0,175,2
142576,3,100,14
0,0,0,0
0,0,0,0
1872,0,0,0
34656,1,775,3
1072,0,0,0
32,0,0,0
48,0,0,0
32,0,0,0
0,0,0,0
21536,0,0,0
12512,0,150,0
6320,0,0,0
3808,1,0,0
52608,4,0,7
304,0,0,0
22496,0,0,2
2272,0,0,0
128,0,0,1
0,0,0,0
2016,0,0,3
14704,0,0,1
0,0,0,0
432,0,0,0
2032,0,0,2
1808,0,0,0
256,0,0,0
2944,0,0,0
32,0,0,0
61104,1,200,3
0,0,0,0
432,0,0,0
9808,0,0,0
96,0,0,0
6608,3,50,0
2768,0,0,2
4704,1,0,1
16,0,0,0
2272,0,0,0
112,0,0,0
48,0,0,0
0,0,0,0
576,0,0,0
416,0,0,0
4640,0,0,2
0,0,0,0
0,0,0,0
35632,0,250,0
103376,4,0,7
12832,0,0,0
0,0,0,0
96672,2,0,5
0,0,0,0
2080,0,25,0
90416,3,350,9
1056,0,0,3
176,0,0,0
0,0,0,0
32,0,0,0
1712,0,0,1
704,0,0,0
208,0,0,0
32,0,0,0
320,0,0,0
2208,0,0,0
9728,3,225,4
3520,0,0,0
0,0,0,0
2240,2,200,1
1408,2,0,3
160,0,25,0
0,0,0,0
50352,2,0,1
50160,0,25,2
336,0,0,0
496,0,0,0
9248,0,0,1
0,0,0,0
1872,0,0,0
368,0,0,0
80,0,0,0
320,0,0,0
288,0,0,3
62512,2,0,2
624,0,0,0
90976,0,0,4
6544,1,75,1
5696,0,125,0
2080,0,0,0
