sim,population,hospitals,mobilehomes,psubstations
290,2224,0,0,6
291,21984,2,350,11
292,4768,2,100,9
293,41872,3,425,21
294,22096,0,125,6
295,45376,6,300,14
296,11776,0,25,5
297,4256,1,0,4
298,23776,1,225,8
299,6816,1,150,9
300,4304,0,125,10
301,21856,2,400,13
302,6624,0,0,2
303,10832,0,150,15
304,14384,1,75,12
305,40240,4,325,34
306,7104,0,25,3
307,8288,2,25,6
308,5088,0,0,1
309,3968,1,550,7
310,45712,1,1050,16
311,96224,4,225,17
312,19776,0,150,6
313,45936,4,400,8
314,58880,0,25,10
315,28304,2,200,10
316,24816,2,125,3
317,5440,0,0,7
318,15728,5,375,17
319,31488,1,775,15
320,16064,0,0,8
321,6416,1,100,9
322,26128,3,150,20
323,5984,0,75,3
324,9504,0,100,14
325,160912,6,950,19
326,1072,1,25,1
327,1824,1,0,5
328,4464,0,0,2
329,25152,2,150,6
330,26336,1,175,18
331,102032,4,550,24
332,8944,3,100,14
333,14800,0,0,0
334,52880,0,250,29
335,8368,0,0,2
336,27296,2,350,14
337,8736,0,0,3
338,2336,0,0,1
339,9680,0,25,3
340,7536,0,0,3
341,11152,0,0,4
342,22624,1,0,17
343,32016,2,200,10
344,11360,1,275,11
345,528,0,0,2
346,9760,0,150,3
347,11872,1,125,10
348,18752,2,50,19
349,32560,0,75,7
350,49280,0,275,30
351,34992,0,0,14
352,10960,1,125,12
353,1664,2,75,6
354,5280,1,325,10
355,2768,0,0,1
356,14608,2,200,16
357,11152,1,100,13
358,10784,2,50,13
359,4976,0,25,1
360,16272,0,0,6
361,11920,1,0,11
362,27920,1,25,16
363,2464,0,0,3
364,5600,0,0,0
365,69504,0,500,15
366,25328,0,25,6
367,11008,1,25,3
368,12208,2,50,3
369,64448,8,125,19
370,57648,4,450,23
371,6480,1,150,10
372,154144,4,200,15
373,101168,2,775,14
374,4304,0,75,4
375,25248,1,250,13
376,45200,1,25,4
377,15808,1,125,11
378,16160,1,25,24
379,21632,3,375,25
380,23376,2,75,18
381,40144,1,50,14
382,104512,1,250,16
383,12656,1,250,6
384,22544,1,150,3
385,5712,0,25,3
386,37344,0,0,9
387,141840,5,550,45
388,106224,1,525,26
389,14128,2,150,11
390,13472,1,425,13
391,5392,0,0,9
392,6544,0,75,4
393,20896,3,200,20
394,7632,0,0,2
395,7424,2,100,8
396,10176,0,125,11
397,4928,1,50,6
398,17920,0,25,8
399,47248,2,25,15
400,23680,0,0,5
401,85536,4,175,13
402,16992,0,0,11
403,12208,0,25,6
404,256,0,0,4
405,6848,1,225,11
406,84576,1,25,11
407,336,0,0,1
408,2160,0,0,2
409,10896,2,375,14
410,93840,7,875,9
411,4208,0,0,6
412,8640,1,75,5
413,53776,5,475,16
414,26832,0,150,11
415,30048,2,475,12
416,5744,0,0,2
417,10368,0,150,10
418,6432,0,0,11
419,2464,0,0,0
420,12368,0,25,8
421,84256,1,250,17
422,59696,1,0,10
423,27952,2,125,18
424,20432,1,350,11
425,20048,1,0,6
426,16304,1,25,4
427,28976,2,250,16
428,10656,1,75,1
429,29072,0,175,8
430,92464,1,475,9
431,6768,2,150,4
432,45296,0,175,2
433,15792,0,100,11
434,56720,2,1650,22
435,10656,1,0,5
436,320,0,0,0
437,45504,0,0,10
438,7360,0,50,9
439,4432,1,0,3
440,37840,0,125,5
441,8464,0,0,9
442,1376,0,0,2
443,87040,1,475,27
444,25936,1,275,23
445,4848,0,25,4
446,4992,0,0,0
447,86128,2,125,19
448,122960,1,175,29
449,52624,1,600,18
450,784,0,0,1
451,13024,0,0,14
452,102880,2,200,16
453,2560,0,0,2
454,13488,1,25,8
455,7824,0,0,4
456,20256,0,0,6
457,14592,1,25,11
458,56688,4,275,12
459,5360,0,0,11
460,12368,0,150,13
461,148272,4,350,31
462,42832,0,300,15
463,3392,0,25,4
464,19888,1,25,12
465,28544,0,25,3
466,9024,0,0,2
467,37920,1,50,10
468,35488,2,450,20
469,4144,0,25,1
470,5168,1,0,3
471,8096,0,0,4
472,66192,6,125,23
473,9168,0,150,0
474,14224,0,175,7
475,27328,0,175,15
476,25328,1,300,14
477,6416,1,275,5
478,58976,3,250,18
479,42592,0,225,14
480,6496,0,0,6
481,8304,2,50,6
482,10384,1,50,7
483,6512,0,0,5
484,48496,0,125,18
485,130528,3,375,27
486,24368,2,100,15
487,15488,0,0,2
488,18160,0,75,5
489,31376,1,275,18
490,24384,0,50,13
491,28624,7,200,23
492,5472,0,25,7
493,61216,1,150,14
494,15776,1,150,13
495,7680,3,175,16
496,8816,1,75,12
497,19712,1,150,7
498,4576,0,0,3
499,11088,2,300,5
500,6720,0,450,5
501,20960,1,75,4
502,19856,0,25,6
503,3664,1,75,3
504,30064,0,275,8
505,8992,0,0,6
506,35472,0,75,13
507,16592,0,100,7
508,43872,2,25,12
509,26416,1,75,25
510,79776,1,250,10
511,25904,3,350,12
512,3792,0,0,0
513,12272,0,75,12
514,32656,1,25,23
515,40064,4,425,11
516,2288,1,0,6
517,38320,0,125,16
518,18320,0,0,4
519,5152,0,25,6
520,6624,0,0,2
521,10096,1,0,1
522,7648,1,75,7
523,90800,8,550,19
524,29936,1,225,20
525,66224,4,275,19
526,6896,1,0,9
527,18864,1,0,1
528,17888,1,125,20
529,13024,1,50,7
530,12048,0,0,5
531,768,0,0,2
532,2064,1,0,2
533,9632,2,25,7
534,4480,1,125,3
535,16512,1,200,17
536,19328,1,50,6
537,1760,0,0,4
538,7600,0,0,3
539,11216,0,25,8
540,20800,1,25,13
541,55056,0,50,15
542,8352,3,450,11
543,11888,2,50,5
544,80960,2,50,23
545,3168,1,0,7
546,23808,0,225,7
547,4176,0,0,3
548,7552,0,0,6
549,8992,0,25,5
550,121552,2,375,14
551,56304,1,225,11
552,10736,2,0,2
553,4320,0,0,7
554,28992,1,25,3
555,1360,0,0,0
556,94304,0,0,12
557,1968,0,75,8
558,6176,0,100,2
559,4160,1,0,3
560,38464,2,675,10
561,12400,0,150,12
562,7200,3,175,5
563,46224,0,75,18
564,50624,1,0,6
565,8272,1,0,3
566,53904,0,100,11
567,30224,0,75,10
568,2048,1,50,5
569,29456,0,125,12
570,20032,1,50,10
571,8688,0,0,3
572,4528,1,25,4
573,28928,2,100,11
574,15280,2,25,7
575,4544,0,25,2
576,65104,8,275,42
577,14384,0,0,8
578,35776,1,175,9
579,37072,0,150,11
580,21680,0,0,3
581,45760,2,200,15
